Company Name,Type,Contact Number,Website,
"SREE KRISHNAA INDUSTRIES,",Industrial equipment supplier,080 4860 2265,https://www.sreekrishnaaindustries.com/,
BHARATHI MRO Industrial Products Pvt Ltd,Industrial Spares & Products Wholesaler,0422 266 9377,,
KVN INDUSTRIES,Water Pump Supplier,080567 17612,http://kvnpumps.com/,
Electro Carbon Industries,Manufacturer,0422 233 2885,,
O.M.I.Pumps,Solar Energy Company,093600 78009,https://omipumps.com/contact-us-solar-water-pumps/?utm_source=google&utm_medium=organic&utm_campaign=gbp_coimbatore,
Vtech,Manufacturer,099445 56683,https://www.vegetablecuttingmachine.in/,
ARRUTHRA FOOD MACHINES FACTORY,Food machinery supplier,099433 80909,https://www.arruthrafoodmachinery.com/,
REEGLE TECHNOLOGY,Weighing Scale Supplier,090434 34561,http://www.reegle.in/,
NEC Air Compressors and Pumps,Air compressor supplier,098430 21308,http://www.necaircompressors.in/,
Saktthivel Factory,Electric motor store,0422 224 3923,,
Surfine Tools - Precision Manufacturers Coimbatore,Machinery parts manufacturer,082200 07569,https://www.surfine.co.in/,
Spectra Energy Services,Solar energy equipment supplier,099944 44249,http://www.spectraenergyservices.com/,
Modern Scale Industries,Weighing Scale Supplier,098422 95057,http://www.modernscales.in/,
FURNOTHERM ENGINEERING FURNACES,Furnace store,099940 77122,,
Swen Technologies,Manufacturer,093840 29692,https://www.swentechnologies.com/,
EnTool Industrial Services,Tools Wholesaler,0422 417 3478,https://entool.in/,
DSR SYSTEMS,Electronics store,,,
Bharat Engineering & Machine Works,Electronics store,098422 10002,,
Ethics Engineers & Traders Coimbatore,Water Pump Supplier,096009 90875,http://www.ethicsengineers.com/,
Emerald Engineering Company,Manufacturer,0422 233 1031,http://emeco.co.in/,
Gimbal Engineering | Packaging Machine Manufacturer,Manufacturer,097892 74666,https://www.gimbalpackage.com/,
Modern Plastics And Equipment,Manufacturer,,http://www.modernplasticsandequipments.com/,
Lakshmi Engineering Products,Kitchen supply store,0422 435 1519,https://www.maxelplus.com/,
Sri Senthil Kumaran Industries,Electric motor store,098431 21195,http://srisolarpumps.com/,
Sri Sai Industries,Household goods wholesaler,096263 05423,http://www.srisaiindustries14.com/,
GLOBAL CNC HARDWARE,Electronics store,098652 92092,,
UNIQUE TRANSMISSIONS |LHP Motors Authorised Distributor of Electric Motors | Geared Motors | Gearbox | Industrial Products,Wholesaler,072008 82133,https://uniquetransmission.com/,
Pragti Enterprises,Electrical supply store,0422 224 3213,,
V3 Electronics India,Weighing Scale Supplier,099523 48333,http://v3electronicsindia.in/,
KPS CORPORATION,Industrial equipment supplier,099947 24204,http://kpscorporation.com/,
S.KUMAR ENGINEERING WORKS,Manufacturer,080 4860 3505,http://skumarmedical.net/,
Murugan Electronics,Pump supplier,099523 22994,,
ORIENT PUMP & SPARES,Air compressor supplier,096598 99143,https://www.indiamart.com/orientpumpspares/,
Roots Group of Companies,Manufacturer,0422 433 0330,http://www.rootsindia.com/,
Alfa Wirecut,Electrical supply store,099655 69629,,
Mechatron solutions,Manufacturer,0422 233 0125,,
Vikrem pulveriser,Flour mill,094872 81104,https://vikrempulverisers.com/,
Pearl Electroplating Equipments,Electronics store,098430 11127,,
NEW QBITRONICS,Electronics manufacturer,0422 359 3306,http://www.qbitronics.com/,
